Line,,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
10,"            Structures",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,582.4,614.7,644.2,660.7,663.7,674.7,670.6,655.1,606.4,559.9,521.8,477.6,446.0,459.0,452.6,461.6,428.2,458.4,486.1,503.2,527.4,540.3,534.3,524.0,513.0,526.6,552.0,557.4,578.1,598.9,600.8,611.2,604.9,613.4,597.2,577.1,557.4,570.2,592.9,598.4,597.8,599.3,586.4,596.2,631.3,633.9,634.8,616.9,619.2,639.1,664.5,653.2,643.3,569.2,560.9,564.9,573.7,574.6,569.2,556.8,567.5,579.7,594.6,611.0,653.1,683.6,695.0,713.8,704.8,697.8,693.9,679.5,674.2,661.2
11,"            Equipment",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,827.9,839.4,843.6,848.6,844.0,833.8,807.6,713.6,634.1,609.0,624.4,653.3,699.5,745.1,785.2,801.2,821.0,832.3,882.4,902.8,930.9,957.2,954.4,973.4,993.7,995.4,998.0,1038.9,1049.4,1077.7,1111.2,1105.8,1117.4,1122.2,1140.9,1128.4,1125.4,1113.8,1112.6,1118.1,1125.4,1146.8,1165.9,1201.7,1223.0,1225.1,1225.1,1241.2,1248.0,1260.7,1241.9,1213.8,1153.1,1019.9,1126.6,1174.5,1190.2,1224.3,1188.3,1186.8,1223.5,1225.7,1233.8,1241.4,1240.6,1278.0,1269.6,1279.9,1281.4,1309.0,1335.0,1320.6,1386.0,1414.7
12,"            Intellectual property products",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,546.1,549.8,551.7,563.3,573.9,579.5,572.7,568.6,553.1,567.0,572.8,590.2,580.2,577.3,588.5,599.6,605.7,615.6,628.1,642.4,643.8,652.0,653.3,666.1,688.2,685.5,699.8,706.4,713.3,731.4,747.2,764.2,759.6,763.8,775.9,796.9,821.3,841.9,858.9,868.5,887.4,893.7,912.9,931.0,950.8,977.9,994.5,1022.8,1033.4,1055.7,1076.5,1102.5,1119.9,1090.9,1110.7,1138.8,1178.7,1215.8,1245.3,1284.0,1326.2,1365.4,1388.3,1419.5,1438.6,1455.2,1465.5,1480.7,1504.8,1507.3,1517.1,1515.0,1539.0,1593.8
13,"        Residential",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,892.2,857.1,802.6,735.8,677.3,646.6,613.8,554.1,500.3,469.6,491.4,490.4,474.6,499.2,455.0,462.5,461.0,466.2,474.6,486.9,516.3,520.8,534.1,562.0,583.3,603.0,614.0,604.2,601.6,621.4,630.8,653.4,666.3,684.1,705.6,716.6,739.0,741.3,739.3,748.9,766.5,770.8,771.3,787.0,772.1,777.4,770.1,754.6,746.1,758.7,769.6,772.1,793.9,738.9,840.3,899.6,911.8,901.7,899.8,905.8,889.8,863.9,809.2,762.1,749.2,756.9,777.7,780.6,796.2,792.2,782.5,790.7,788.8,778.5
14,"    Change in private inventories",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29.7,54.9,36.3,31.2,-6.8,-29.6,-14.8,-78.1,-167.7,-219.1,-236.8,-57.5,-6.9,35.3,120.3,68.9,29.1,65.5,-14.9,97.7,77.8,89.5,85.5,24.0,75.9,79.5,137.3,121.4,58.3,92.8,106.0,83.2,169.4,145.3,120.3,99.6,62.4,19.2,-3.7,55.6,7.0,26.0,55.5,42.1,34.1,0.5,92.9,89.8,114.3,82.5,67.5,25.3,-39.9,-261.4,116.0,89.4,-10.3,-120.8,16.8,207.9,227.4,114.4,79.7,160.6,43.5,17.0,67.5,61.9,12.4,75.1,69.4,17.1,172.0,-18.3
15,Net exports of goods and services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-676.6,-663.6,-623.3,-560.1,-540.1,-463.7,-442.4,-469.0,-397.5,-304.4,-324.0,-328.8,-341.8,-400.8,-426.8,-382.6,-377.1,-352.1,-350.6,-366.7,-353.3,-341.8,-342.0,-316.6,-303.4,-319.5,-318.8,-275.6,-329.7,-339.9,-335.4,-385.3,-443.6,-458.9,-496.2,-507.1,-510.3,-496.3,-479.5,-537.2,-525.1,-544.6,-541.8,-561.9,-558.5,-549.0,-622.4,-644.3,-619.4,-649.0,-635.0,-561.9,-544.8,-549.4,-721.8,-807.1,-859.7,-904.3,-956.9,-984.6,-1106.8,-1093.0,-953.1,-944.5,-912.2,-928.1,-926.2,-934.1,-964.1,-1032.2,-1064.9,-1069.0,-1380.7,-1058.0
16,"    Exports",394.9,394.1,388.3,399.9,412.5,416.9,426.4,442.4,442.8,461.0,481.0,499.0,526.7,541.4,552.1,569.0,585.9,611.6,617.8,627.2,654.4,662.6,667.6,673.5,677.6,702.3,718.9,735.1,748.4,748.7,764.6,768.4,770.2,779.4,777.3,802.3,810.2,837.6,868.9,889.0,906.1,918.8,958.6,972.2,983.9,999.9,1008.0,1070.9,1091.2,1134.8,1161.1,1159.4,1164.8,1152.0,1146.7,1189.3,1185.4,1200.1,1236.3,1262.7,1280.9,1319.9,1351.6,1338.1,1321.3,1282.5,1216.9,1174.6,1200.2,1236.0,1239.9,1221.6,1217.8,1220.0,1253.3,1309.7,1339.3,1367.4,1371.9,1404.5,1430.8,1462.8,1462.5,1507.8,1569.0,1598.1,1596.0,1656.6,1689.4,1715.0,1768.6,1809.2,1838.0,1892.0,1883.6,1772.8,1631.3,1642.0,1702.7,1796.5,1836.9,1877.3,1931.0,1983.8,2000.8,2034.7,2062.7,2078.4,2103.7,2124.5,2137.5,2139.5,2150.6,2170.1,2188.7,2251.8,2230.2,2278.4,2287.8,2306.7,2288.5,2294.6,2276.1,2273.0,2266.5,2284.1,2321.1,2303.8,2359.9,2367.9,2381.8,2443.5,2459.3,2472.7,2441.8,2451.9,2474.9,2462.4,2462.9,2477.9,2386.7,1886.4,2115.8,2242.3,2247.4,2270.2,2268.6,2402.5,2377.5,2451.7,2538.9,2520.1,2543.5,2509.3,2536.7,2574.6,2603.6,2608.0,2664.3,2658.5,2659.5,2647.3
17,"        Goods",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1113.2,1128.9,1159.8,1184.8,1207.3,1248.6,1249.6,1150.5,1030.5,1024.8,1075.1,1149.6,1183.3,1217.5,1246.3,1282.7,1296.4,1316.0,1328.4,1357.2,1363.8,1380.5,1388.7,1374.5,1383.7,1405.2,1412.8,1467.3,1441.7,1479.6,1494.4,1506.8,1478.2,1487.6,1472.7,1464.2,1471.6,1471.5,1498.2,1499.6,1532.4,1528.3,1534.9,1591.0,1598.4,1633.5,1600.8,1615.8,1630.1,1599.0,1611.7,1618.8,1595.9,1214.4,1453.8,1546.3,1542.2,1549.1,1533.4,1632.1,1596.8,1645.5,1710.9,1686.5,1711.9,1665.6,1690.0,1716.5,1716.2,1717.7,1752.8,1735.5,1762.1,1741.0
18,"        Services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,571.9,582.0,605.5,621.3,626.8,638.0,627.3,621.9,605.7,624.6,633.0,649.8,655.1,659.8,685.7,701.7,704.4,719.2,736.3,718.9,739.8,743.2,748.0,767.5,768.9,765.1,776.8,783.1,789.0,798.3,791.7,798.3,810.4,806.8,803.4,809.2,795.0,812.5,822.9,804.2,827.5,839.5,846.9,852.5,860.9,838.9,841.0,836.1,844.9,863.0,851.2,859.0,792.0,669.5,666.1,700.2,708.2,723.5,737.6,772.6,783.9,809.6,831.2,837.2,835.5,846.9,850.2,861.7,890.1,892.8,913.9,924.3,901.0,908.7
19,"    Imports",528.0,554.0,548.6,570.1,569.5,593.8,610.2,615.0,611.3,626.6,638.9,653.5,650.5,643.0,658.1,678.2,681.4,684.6,683.7,696.0,718.1,716.9,714.0,694.8,686.9,699.1,718.8,734.7,740.0,752.2,764.0,782.3,799.3,815.8,826.5,859.7,879.8,912.6,938.2,964.6,985.8,995.1,998.6,1011.3,1044.2,1067.6,1102.2,1123.9,1171.9,1211.2,1255.9,1283.0,1331.1,1361.6,1380.0,1424.7,1464.9,1507.0,1561.5,1601.4,1661.9,1714.8,1776.5,1779.1,1756.1,1699.9,1661.4,1644.2,1690.9,1747.5,1769.8,1801.5,1793.7,1819.8,1848.3,1907.0,1960.5,2037.7,2065.9,2114.1,2132.3,2160.8,2172.9,2243.0,2289.1,2311.9,2335.0,2332.0,2366.0,2378.6,2391.9,2369.3,2378.2,2355.7,2325.9,2241.8,2028.7,1946.4,2026.7,2125.3,2178.7,2278.1,2357.8,2366.4,2378.0,2386.9,2413.3,2445.0,2457.1,2466.2,2479.5,2456.1,2454.0,2489.6,2507.5,2527.3,2559.9,2618.2,2623.2,2692.0,2732.1,2753.5,2772.3,2780.1,2776.8,2780.4,2800.7,2841.0,2885.0,2912.4,2923.6,3005.4,3017.8,3021.7,3064.2,3096.2,3094.3,3111.4,3097.9,3039.8,2931.5,2435.9,2837.6,3049.4,3107.1,3174.4,3225.5,3387.1,3484.4,3544.7,3492.0,3464.6,3455.7,3437.4,3462.9,3508.8,3567.8,3640.2,3729.2,3727.4,4040.2,3705.3
